pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
1006,1526344332.985204,e,tcp,192.168.100.150,36663,192.168.100.3,1055,2,120,RST,1526344332.985268,1080,6.4e-05,6.4e-05,0.0,,,6.4e-05,6.4e-05,6.4e-05,,,,,1,1,60,60,15625.0,0.0,0.0,1,Reconnaissance,Service_Scan
1007,1526344332.985205,e,tcp,192.168.100.150,36663,192.168.100.3,2601,2,120,RST,1526344332.985272,1081,6.7e-05,6.7e-05,0.0,,,6.7e-05,6.7e-05,6.7e-05,,,,,1,1,60,60,14925.373047,0.0,0.0,1,Reconnaissance,Service_Scan
1008,1526344332.985206,e,tcp,192.168.100.150,36663,192.168.100.3,1132,2,120,RST,1526344332.985288,1082,8.2e-05,8.2e-05,0.0,,,8.2e-05,8.2e-05,8.2e-05,,,,,1,1,60,60,12195.12207,0.0,0.0,1,Reconnaissance,Service_Scan
1009,1526344332.985206,e,tcp,192.168.100.150,36663,192.168.100.3,2522,2,120,RST,1526344332.985289,1083,8.3e-05,8.3e-05,0.0,,,8.3e-05,8.3e-05,8.3e-05,,,,,1,1,60,60,12048.193359,0.0,0.0,1,Reconnaissance,Service_Scan
1010,1526344332.985207,e,tcp,192.168.100.150,36663,192.168.100.3,2701,2,120,RST,1526344332.98527,1084,6.3e-05,6.3e-05,0.0,,,6.3e-05,6.3e-05,6.3e-05,,,,,1,1,60,60,15873.015625,0.0,0.0,1,Reconnaissance,Service_Scan
1011,1526344332.98521,e,tcp,192.168.100.150,36663,192.168.100.3,7402,2,120,RST,1526344332.985271,1085,6.1e-05,6.1e-05,0.0,,,6.1e-05,6.1e-05,6.1e-05,,,,,1,1,60,60,16393.443359,0.0,0.0,1,Reconnaissance,Service_Scan
1012,1526344332.98521,e,tcp,192.168.100.150,36663,192.168.100.3,2717,2,120,RST,1526344332.985289,1086,7.9e-05,7.9e-05,0.0,,,7.9e-05,7.9e-05,7.9e-05,,,,,1,1,60,60,12658.228516,0.0,0.0,1,Reconnaissance,Service_Scan
9000002,1528082799.655338,e s,tcp,192.168.100.150,5713.0,192.168.100.6,80.0,4,616,REQ,1528082858.577955,8180,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000003,1528082799.65534,e s,tcp,192.168.100.150,5594.0,192.168.100.6,80.0,6,736,RST,1528082858.615939,8181,58.960598,0.019105,0.019106,,,0.076421,0.0,0.038441,,,,,4,2,616,120,0.084802,0.050914,0.016972,1,DoS,TCP
9000004,1528082799.655341,e s,tcp,192.168.100.150,5595.0,192.168.100.6,80.0,6,736,RST,1528082858.61594,8182,58.960598,0.019105,0.019106,,,0.076421,0.0,0.038442,,,,,4,2,616,120,0.084802,0.050914,0.016972,1,DoS,TCP
9000005,1528082799.655343,e s,tcp,192.168.100.150,5598.0,192.168.100.6,80.0,6,736,RST,1528082858.61594,8183,58.960598,0.020454,0.020559,,,0.081817,0.0,0.043839,,,,,4,2,616,120,0.084802,0.050914,0.016973,1,DoS,TCP
9000006,1528082799.655345,e s,tcp,192.168.100.150,5599.0,192.168.100.6,80.0,6,736,RST,1528082858.615941,8184,58.960594,0.020454,0.020558,,,0.081815,0.0,0.043838,,,,,4,2,616,120,0.084802,0.050914,0.016973,1,DoS,TCP
9000007,1528082799.655346,e s,tcp,192.168.100.150,5600.0,192.168.100.6,80.0,6,736,RST,1528082858.615941,8185,58.960594,0.020453,0.020558,,,0.081813,0.0,0.043838,,,,,4,2,616,120,0.084802,0.050914,0.016973,1,DoS,TCP
9000008,1528082799.655347,e s,tcp,192.168.100.150,5601.0,192.168.100.6,80.0,6,736,RST,1528082858.621716,8186,58.96637,0.021897,0.021897,,,0.087587,0.0,0.043838,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000009,1528082799.655349,e s,tcp,192.168.100.150,5604.0,192.168.100.6,80.0,6,736,RST,1528082858.621717,8187,58.96637,0.021897,0.021897,,,0.087586,0.0,0.043837,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000010,1528082799.65535,e s,tcp,192.168.100.150,5605.0,192.168.100.6,80.0,6,736,RST,1528082858.621718,8188,58.96637,0.021896,0.021896,,,0.087585,0.0,0.043837,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000011,1528082799.655352,e s,tcp,192.168.100.150,5610.0,192.168.100.6,80.0,6,736,RST,1528082858.621704,8189,58.966351,0.021886,0.021886,,,0.087544,0.0,0.043811,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000012,1528082799.655353,e s,tcp,192.168.100.150,5611.0,192.168.100.6,80.0,6,736,RST,1528082858.621705,8190,58.966351,0.021886,0.021886,,,0.087543,0.0,0.043811,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000013,1528082799.655355,e s,tcp,192.168.100.150,5614.0,192.168.100.6,80.0,6,736,RST,1528082858.621705,8191,58.966351,0.021885,0.021885,,,0.087541,0.0,0.04381,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000014,1528082799.655356,e s,tcp,192.168.100.150,5615.0,192.168.100.6,80.0,6,736,RST,1528082858.621706,8192,58.966351,0.021885,0.021885,,,0.08754,0.0,0.04381,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000015,1528082799.655358,e s,tcp,192.168.100.150,5616.0,192.168.100.6,80.0,6,736,RST,1528082858.621707,8193,58.966351,0.021885,0.021885,,,0.087539,0.0,0.043809,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000016,1528082799.65536,e s,tcp,192.168.100.150,5617.0,192.168.100.6,80.0,6,736,RST,1528082858.621707,8194,58.966347,0.021884,0.021884,,,0.087536,0.0,0.043808,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000017,1528082799.655362,e s,tcp,192.168.100.150,5620.0,192.168.100.6,80.0,6,736,RST,1528082858.621708,8195,58.966347,0.021884,0.021884,,,0.087535,0.0,0.043807,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000018,1528082799.655363,e s,tcp,192.168.100.150,5621.0,192.168.100.6,80.0,6,736,RST,1528082858.621709,8196,58.966347,0.021884,0.021884,,,0.087535,0.0,0.043807,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000019,1528082799.655364,e s,tcp,192.168.100.150,5626.0,192.168.100.6,80.0,6,736,RST,1528082858.621723,8197,58.966358,0.021893,0.021893,,,0.087571,0.0,0.043831,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000020,1528082799.655366,e s,tcp,192.168.100.150,5627.0,192.168.100.6,80.0,6,736,RST,1528082858.621724,8198,58.966358,0.021892,0.021893,,,0.08757,0.0,0.04383,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000021,1528082799.655367,e s,tcp,192.168.100.150,5630.0,192.168.100.6,80.0,6,736,RST,1528082858.621724,8199,58.966358,0.021892,0.021893,,,0.08757,0.0,0.043831,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000022,1528082799.655369,e s,tcp,192.168.100.150,5631.0,192.168.100.6,80.0,6,736,RST,1528082858.621725,8200,58.966354,0.021892,0.021892,,,0.087569,0.0,0.04383,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000023,1528082799.655371,e s,tcp,192.168.100.150,5634.0,192.168.100.6,80.0,6,736,RST,1528082858.621726,8201,58.966354,0.021888,0.021888,,,0.087551,0.0,0.043829,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000024,1528082799.655372,e s,tcp,192.168.100.150,5635.0,192.168.100.6,80.0,6,736,RST,1528082858.621726,8202,58.966354,0.021887,0.021888,,,0.08755,0.0,0.043829,,,,,4,2,616,120,0.084794,0.050914,0.016971,1,DoS,TCP
9000025,1528082799.655374,e s,tcp,192.168.100.150,5638.0,192.168.100.6,80.0,5,676,RST,1528082858.578006,8203,58.92263,0.010957,0.018978,,,0.043827,0.0,0.043827,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000026,1528082799.655375,e s,tcp,192.168.100.150,5639.0,192.168.100.6,80.0,5,676,RST,1528082858.578008,8204,58.922634,0.010957,0.018978,,,0.043827,0.0,0.043827,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000027,1528082799.655376,e s,tcp,192.168.100.150,5640.0,192.168.100.6,80.0,4,616,REQ,1528082858.578009,8205,58.922634,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000028,1528082799.655378,e s,tcp,192.168.100.150,5641.0,192.168.100.6,80.0,4,616,REQ,1528082858.57801,8206,58.92263,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000029,1528082799.655379,e s,tcp,192.168.100.150,5644.0,192.168.100.6,80.0,4,616,REQ,1528082858.578012,8207,58.922634,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000030,1528082799.655381,e s,tcp,192.168.100.150,5645.0,192.168.100.6,80.0,4,616,REQ,1528082858.578014,8208,58.922634,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000031,1528082799.655382,e s,tcp,192.168.100.150,5650.0,192.168.100.6,80.0,4,616,REQ,1528082858.578015,8209,58.922634,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000032,1528082799.655384,e s,tcp,192.168.100.150,5651.0,192.168.100.6,80.0,4,616,REQ,1528082858.578016,8210,58.92263,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000033,1528082799.655386,e s,tcp,192.168.100.150,5654.0,192.168.100.6,80.0,5,676,RST,1528082858.578018,8211,58.92263,0.010703,0.018537,,,0.04281,0.0,0.04281,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000034,1528082799.655388,e s,tcp,192.168.100.150,5655.0,192.168.100.6,80.0,5,676,RST,1528082858.578019,8212,58.92263,0.010702,0.018537,,,0.042809,0.0,0.042809,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000035,1528082799.65539,e s,tcp,192.168.100.150,5656.0,192.168.100.6,80.0,5,676,RST,1528082858.578021,8213,58.92263,0.012094,0.020947,,,0.048374,0.0,0.048374,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000036,1528082799.655391,e s,tcp,192.168.100.150,5657.0,192.168.100.6,80.0,5,676,RST,1528082858.578022,8214,58.92263,0.012093,0.020946,,,0.048373,0.0,0.048373,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000037,1528082799.655393,e s,tcp,192.168.100.150,5660.0,192.168.100.6,80.0,5,676,RST,1528082858.578023,8215,58.92263,0.012093,0.020946,,,0.048373,0.0,0.048373,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000038,1528082799.655395,e s,tcp,192.168.100.150,5661.0,192.168.100.6,80.0,5,676,RST,1528082858.578025,8216,58.92263,0.012093,0.020946,,,0.048373,0.0,0.048373,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000039,1528082799.655396,e s,tcp,192.168.100.150,5666.0,192.168.100.6,80.0,5,676,RST,1528082858.578026,8217,58.92263,0.012093,0.020946,,,0.048372,0.0,0.048372,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000040,1528082799.655398,e s,tcp,192.168.100.150,5667.0,192.168.100.6,80.0,5,676,RST,1528082858.578028,8218,58.92263,0.012093,0.020946,,,0.048372,0.0,0.048372,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000041,1528082799.6554,e s,tcp,192.168.100.150,5670.0,192.168.100.6,80.0,5,676,RST,1528082858.578029,8219,58.92263,0.012093,0.020945,,,0.048371,0.0,0.048371,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000042,1528082799.655401,e s,tcp,192.168.100.150,5671.0,192.168.100.6,80.0,5,676,RST,1528082858.57803,8220,58.92263,0.012093,0.020945,,,0.048371,0.0,0.048371,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000043,1528082799.655403,e s,tcp,192.168.100.150,5672.0,192.168.100.6,80.0,5,676,RST,1528082858.578032,8221,58.92263,0.012089,0.020939,,,0.048356,0.0,0.048356,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000044,1528082799.655404,e s,tcp,192.168.100.150,5673.0,192.168.100.6,80.0,5,676,RST,1528082858.578033,8222,58.92263,0.012089,0.020938,,,0.048355,0.0,0.048355,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000045,1528082799.655406,e s,tcp,192.168.100.150,5676.0,192.168.100.6,80.0,5,676,RST,1528082858.578034,8223,58.922626,0.012089,0.020938,,,0.048355,0.0,0.048355,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000046,1528082799.655407,e s,tcp,192.168.100.150,5677.0,192.168.100.6,80.0,5,676,RST,1528082858.578036,8224,58.92263,0.012088,0.020938,,,0.048354,0.0,0.048354,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000047,1528082799.655409,e s,tcp,192.168.100.150,5682.0,192.168.100.6,80.0,5,676,RST,1528082858.578037,8225,58.922626,0.012088,0.020938,,,0.048354,0.0,0.048354,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000048,1528082799.65541,e s,tcp,192.168.100.150,5683.0,192.168.100.6,80.0,5,676,RST,1528082858.578039,8226,58.92263,0.012088,0.020937,,,0.048353,0.0,0.048353,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000049,1528082799.655412,e s,tcp,192.168.100.150,5686.0,192.168.100.6,80.0,5,676,RST,1528082858.57804,8227,58.922626,0.012088,0.020937,,,0.048352,0.0,0.048352,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000050,1528082799.655414,e s,tcp,192.168.100.150,5687.0,192.168.100.6,80.0,5,676,RST,1528082858.578041,8228,58.922626,0.012088,0.020937,,,0.048352,0.0,0.048352,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000051,1528082799.655415,e s,tcp,192.168.100.150,5688.0,192.168.100.6,80.0,5,676,RST,1528082858.578043,8229,58.922626,0.012092,0.020943,,,0.048366,0.0,0.048366,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000052,1528082799.655417,e s,tcp,192.168.100.150,5689.0,192.168.100.6,80.0,5,676,RST,1528082858.578044,8230,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000053,1528082799.655418,e s,tcp,192.168.100.150,5692.0,192.168.100.6,80.0,5,676,RST,1528082858.578045,8231,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000054,1528082799.65542,e s,tcp,192.168.100.150,5693.0,192.168.100.6,80.0,5,676,RST,1528082858.578046,8232,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000055,1528082799.655421,e s,tcp,192.168.100.150,5698.0,192.168.100.6,80.0,5,676,RST,1528082858.578047,8233,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000056,1528082799.655423,e s,tcp,192.168.100.150,5699.0,192.168.100.6,80.0,5,676,RST,1528082858.578049,8234,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000057,1528082799.655425,e s,tcp,192.168.100.150,5702.0,192.168.100.6,80.0,5,676,RST,1528082858.57805,8235,58.922626,0.012091,0.020943,,,0.048365,0.0,0.048365,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000058,1528082799.655426,e s,tcp,192.168.100.150,5703.0,192.168.100.6,80.0,4,616,REQ,1528082858.578051,8236,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000059,1528082799.655427,e s,tcp,192.168.100.150,5704.0,192.168.100.6,80.0,4,616,REQ,1528082858.578053,8237,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000060,1528082799.655429,e s,tcp,192.168.100.150,5705.0,192.168.100.6,80.0,4,616,REQ,1528082858.578054,8238,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000061,1528082799.655431,e s,tcp,192.168.100.150,5708.0,192.168.100.6,80.0,4,616,REQ,1528082858.578055,8239,58.922623,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000062,1528082799.655432,e s,tcp,192.168.100.150,5709.0,192.168.100.6,80.0,4,616,REQ,1528082858.578057,8240,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000063,1528082799.655434,e s,tcp,192.168.100.150,5714.0,192.168.100.6,80.0,4,616,REQ,1528082858.578059,8241,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000064,1528082799.655435,e s,tcp,192.168.100.150,5715.0,192.168.100.6,80.0,4,616,REQ,1528082858.57806,8242,58.922626,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000065,1528082799.655437,e s,tcp,192.168.100.150,5718.0,192.168.100.6,80.0,5,676,REQ,1528082858.578109,8243,58.922672,0.010685,0.018507,,,0.042741,0.0,0.042741,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000066,1528082799.655439,e s,tcp,192.168.100.150,5719.0,192.168.100.6,80.0,5,676,REQ,1528082858.578111,8244,58.922672,0.010686,0.018508,,,0.042743,0.0,0.042743,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000067,1528082799.655441,e s,tcp,192.168.100.150,5716.0,192.168.100.6,80.0,4,616,REQ,1528082858.578062,8245,58.922623,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000068,1528082799.655443,e s,tcp,192.168.100.150,5717.0,192.168.100.6,80.0,4,616,REQ,1528082858.578063,8246,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000069,1528082799.655444,e s,tcp,192.168.100.150,5722.0,192.168.100.6,80.0,5,676,REQ,1528082858.578065,8247,58.922623,0.010704,0.01854,,,0.042817,0.0,0.042817,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000070,1528082799.655446,e s,tcp,192.168.100.150,5723.0,192.168.100.6,80.0,5,676,REQ,1528082858.578066,8248,58.922619,0.010704,0.01854,,,0.042816,0.0,0.042816,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000071,1528082799.655447,e s,tcp,192.168.100.150,5726.0,192.168.100.6,80.0,5,676,REQ,1528082858.578068,8249,58.922623,0.012281,0.021272,,,0.049125,0.0,0.049125,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000072,1528082799.655449,e s,tcp,192.168.100.150,5727.0,192.168.100.6,80.0,5,676,REQ,1528082858.578069,8250,58.922619,0.012281,0.021271,,,0.049124,0.0,0.049124,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000073,1528082799.655451,e s,tcp,192.168.100.150,5728.0,192.168.100.6,80.0,5,676,REQ,1528082858.57807,8251,58.922619,0.012281,0.021271,,,0.049124,0.0,0.049124,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000074,1528082799.655452,e s,tcp,192.168.100.150,5729.0,192.168.100.6,80.0,5,676,REQ,1528082858.578071,8252,58.922619,0.012281,0.021271,,,0.049124,0.0,0.049124,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000075,1528082799.655454,e s,tcp,192.168.100.150,5732.0,192.168.100.6,80.0,5,676,REQ,1528082858.578073,8253,58.922619,0.012281,0.021272,,,0.049125,0.0,0.049125,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000076,1528082799.655455,e s,tcp,192.168.100.150,5733.0,192.168.100.6,80.0,5,676,REQ,1528082858.578075,8254,58.922619,0.012281,0.021272,,,0.049125,0.0,0.049125,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000077,1528082799.655457,e s,tcp,192.168.100.150,5738.0,192.168.100.6,80.0,5,676,REQ,1528082858.578077,8255,58.922619,0.012286,0.02128,,,0.049144,0.0,0.049144,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000078,1528082799.655458,e s,tcp,192.168.100.150,5739.0,192.168.100.6,80.0,5,676,REQ,1528082858.578078,8256,58.922619,0.012286,0.02128,,,0.049144,0.0,0.049144,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000079,1528082799.655459,e s,tcp,192.168.100.150,5742.0,192.168.100.6,80.0,5,676,REQ,1528082858.57808,8257,58.922623,0.012286,0.02128,,,0.049144,0.0,0.049144,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000080,1528082799.655461,e s,tcp,192.168.100.150,5743.0,192.168.100.6,80.0,5,676,REQ,1528082858.578081,8258,58.922619,0.012286,0.02128,,,0.049143,0.0,0.049143,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000081,1528082799.655462,e s,tcp,192.168.100.150,5744.0,192.168.100.6,80.0,5,676,REQ,1528082858.578083,8259,58.922623,0.012286,0.02128,,,0.049143,0.0,0.049143,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000082,1528082799.655463,e s,tcp,192.168.100.150,5745.0,192.168.100.6,80.0,5,676,REQ,1528082858.578084,8260,58.922623,0.012285,0.021279,,,0.049141,0.0,0.049141,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000083,1528082799.655464,e s,tcp,192.168.100.150,5748.0,192.168.100.6,80.0,5,676,REQ,1528082858.578085,8261,58.922623,0.012285,0.021279,,,0.049141,0.0,0.049141,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000084,1528082799.655466,e s,tcp,192.168.100.150,5749.0,192.168.100.6,80.0,5,676,REQ,1528082858.578087,8262,58.922623,0.012285,0.021279,,,0.049141,0.0,0.049141,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000085,1528082799.655467,e s,tcp,192.168.100.150,5754.0,192.168.100.6,80.0,5,676,REQ,1528082858.578089,8263,58.922623,0.01228,0.02127,,,0.049121,0.0,0.049121,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000086,1528082799.655469,e s,tcp,192.168.100.150,5755.0,192.168.100.6,80.0,5,676,REQ,1528082858.57809,8264,58.922623,0.01228,0.02127,,,0.049121,0.0,0.049121,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000087,1528082799.65547,e s,tcp,192.168.100.150,5758.0,192.168.100.6,80.0,5,676,REQ,1528082858.578092,8265,58.922623,0.01228,0.02127,,,0.049121,0.0,0.049121,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000088,1528082799.655472,e s,tcp,192.168.100.150,5759.0,192.168.100.6,80.0,5,676,REQ,1528082858.578093,8266,58.922623,0.01228,0.02127,,,0.049121,0.0,0.049121,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000089,1528082799.655474,e s,tcp,192.168.100.150,5760.0,192.168.100.6,80.0,5,676,REQ,1528082858.578094,8267,58.922619,0.012285,0.021278,,,0.04914,0.0,0.04914,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000090,1528082799.655475,e s,tcp,192.168.100.150,5761.0,192.168.100.6,80.0,5,676,REQ,1528082858.578096,8268,58.922623,0.012285,0.021278,,,0.049139,0.0,0.049139,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000091,1528082799.655477,e s,tcp,192.168.100.150,5764.0,192.168.100.6,80.0,5,676,REQ,1528082858.578097,8269,58.922619,0.012285,0.021278,,,0.049139,0.0,0.049139,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000092,1528082799.655479,e s,tcp,192.168.100.150,5765.0,192.168.100.6,80.0,5,676,REQ,1528082858.578098,8270,58.922619,0.012285,0.021278,,,0.049139,0.0,0.049139,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
9000093,1528082799.65548,e s,tcp,192.168.100.150,5770.0,192.168.100.6,80.0,4,616,REQ,1528082858.5781,8271,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000094,1528082799.655481,e s,tcp,192.168.100.150,5771.0,192.168.100.6,80.0,4,616,REQ,1528082858.578101,8272,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000095,1528082799.655482,e s,tcp,192.168.100.150,5774.0,192.168.100.6,80.0,4,616,REQ,1528082858.578102,8273,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000096,1528082799.655484,e s,tcp,192.168.100.150,5775.0,192.168.100.6,80.0,4,616,REQ,1528082858.578104,8274,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000097,1528082799.655485,e s,tcp,192.168.100.150,5776.0,192.168.100.6,80.0,4,616,REQ,1528082858.578105,8275,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000098,1528082799.655487,e s,tcp,192.168.100.150,5777.0,192.168.100.6,80.0,4,616,REQ,1528082858.578107,8276,58.922619,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050914,0.050914,0.0,1,DoS,TCP
9000099,1528082799.655488,e s,tcp,192.168.100.150,5780.0,192.168.100.6,80.0,5,676,RST,1528082858.630817,8277,59.008938,0.008402,0.014552,,,0.033607,0.0,0.033607,,,,,4,1,616,60,0.067786,0.050869,0.0,1,DoS,TCP
9000100,1528082799.655489,e s,tcp,192.168.100.150,5781.0,192.168.100.6,80.0,5,676,RST,1528082858.630819,8278,59.008938,0.008402,0.014552,,,0.033606,0.0,0.033606,,,,,4,1,616,60,0.067786,0.050869,0.0,1,DoS,TCP
9000101,1528082799.655494,e s,tcp,192.168.100.150,5720.0,192.168.100.6,80.0,5,676,REQ,1528082858.578112,8279,58.922619,0.010687,0.018511,,,0.042749,0.0,0.042749,,,,,4,1,616,60,0.067886,0.050914,0.0,1,DoS,TCP
